Dia,Hora,Fecha,Tierra,Agua,Estación,Estado
14 de February/ de 2022,00:01:47,14/02/2022 00:01:47,1,0,1,BOMBA ACTIVADA
Dia,Hora,Fecha,Tierra,Agua,Estación,Estado
14 de February de 2022,12:03:22,14/02/2022 00:03:22,1,0,1,BOMBA ACTIVADA
Dia,Hora,Fecha,Tierra,Agua,Estación,Estado
14 de February de 2022,12:04:16 AM,14/02/2022 00:04:16,1,0,1,BOMBA ACTIVADA
Dia,Hora,Tierra,Agua,Estación,Estado
14 de February de 2022,12:07:25 AM,1,0,1,BOMBA ACTIVADA
Dia,Hora,Tierra,Agua,Estación,Estado
14 de febrero de 2022,12:15:13 ,1,0,1,BOMBA ACTIVADA
Dia,Hora,Tierra,Agua,Estación,Estado
14 - 02 - 2022,01:11:21 ,1,0,1,BOMBA ACTIVADA
Dia,Hora,Tierra,Agua,Estación,Estado
14-02-2022,01:13:59 ,1,0,1,BOMBA ACTIVADA
